iter	Passed	Remaining
623	506072	304941
624	506872	304123
625	507683	303312
626	508488	302497
627	509327	301703
628	510161	300905
629	511021	300123
630	511829	299310
631	512676	298520
632	513501	297717
633	514384	296947
634	515255	296170
635	516077	295365
636	516917	294570
637	517744	293767
638	518626	292995
639	519527	292234
640	520400	291456
641	521239	290660
642	522125	289889
643	522970	289095
644	523766	288274
645	524547	287445
646	525367	286637
647	526168	285820
648	526977	285006
649	527817	284209
650	528615	283389
651	529393	282559
652	530273	281783
653	531088	280973
654	531879	280150
655	532680	279332
656	533506	278527
657	534295	277703
658	535156	276917
659	535942	276091
660	536795	275300
661	537579	274473
662	538375	273653
663	539173	272834
664	539983	272021
665	540786	271205
666	541559	270373
667	542405	269578
668	543180	268748
669	544056	267967
670	544861	267152
671	545695	266351
672	546508	265539
673	547308	264722
674	548110	263905
675	548909	263086
676	549726	262277
677	550540	261465
678	551339	260648
679	552119	259820
680	553011	259046
681	553817	258231
682	554629	257419
683	555466	256618
684	556282	255808
685	557080	254990
686	557877	254171
687	558702	253364
688	559524	252557
689	560330	251742
690	561136	250928
691	561925	250105
692	562742	249295
693	563540	248477
694	564385	247679
695	565188	246863
696	565988	246046
697	566770	245221
698	567566	244402
699	568358	243582
700	569154	242763
701	569980	241957
702	570791	241145
703	571588	240326
704	572365	239500
705	573128	238668
706	573941	237857
707	574772	237053
708	575585	236241
709	576368	235418
710	577138	234589
711	577931	233769
712	578700	232941
713	579467	232111
714	580269	231296
715	581104	230493
716	581883	229669
717	582676	228850
718	583448	228023
719	584302	227228
720	585075	226402
721	585851	225577
722	586619	224748
723	587406	223928
724	588194	223108
725	588994	222292
726	589763	221465
727	590559	220648
728	591336	219824
729	592137	219009
730	592912	218185
731	593787	217397
732	594563	216573
733	595360	215757
734	596176	214948
735	596945	214121
736	597734	213302
737	598523	212484
738	599290	211657
739	600064	210833
740	600881	210024
741	601654	209200
742	602472	208392
743	603245	207568
744	604010	206741
745	604785	205919
746	605562	205096
747	606335	204273
748	607142	203461
749	607990	202663
750	608799	201852
751	609583	201032
752	610366	200213
753	611141	199390
754	611945	198578
755	612719	197755
756	613541	196949
757	614319	196128
758	615099	195308
759	615866	194484
760	616663	193669
761	617446	192850
762	618238	192034
763	619014	191213
764	619802	190396
765	620582	189577
766	621356	188756
767	622125	187933
768	622898	187112
769	623668	186290
770	624470	185478
771	625241	184656
772	626033	183841
773	626850	183033
774	627623	182213
775	628456	181410
776	629220	180587
777	629999	179768
778	630816	178960
779	631612	178147
780	632390	177328
781	633171	176510
782	633983	175701
783	634790	174891
784	635597	174080
785	636367	173260
786	637162	172446
787	637939	171628
788	638717	170810
789	639491	169991
790	640267	169172
791	641049	168356
792	641829	167539
793	642696	166745
794	643507	165935
795	644271	165114
796	645045	164296
797	645864	163489
798	646640	162671
799	647409	161852
800	648200	161038
801	648976	160221
802	649752	159403
803	650522	158585
804	651293	157766
805	652067	156949
806	652874	156139
807	653634	155319
808	654421	154504
809	655189	153686
810	655983	152874
811	656756	152056
812	657523	151238
813	658313	150425
814	659111	149614
815	659885	148797
816	660668	147983
817	661433	147164
818	662227	146353
819	663004	145537
820	663813	144729
821	664587	143913
822	665361	143097
823	666158	142286
824	666944	141473
825	667719	140657
826	668554	139854
